work_number,work_label,folder,title,year,format,materials,size,location,page_count,content_start_page,content_end_page,image_count
1,Work 1,Work 1,Embodied Absence,2025,Installation,"Glass, Metal, Sand, Fishing line",175 cm x 210 cm x 70 cm,"Exhibition view, Dudley College of Technology, England",2,1,2,3
2,Work 2,Work 2,Reflections on Wrinkles,2025,Illustration,"Tin foil, Ink, Paper",29.7 cm x 21 cm,,1,3,3,2
3,Work 3,Work 3,Reflections on Wrinkles II,2025,Illustration,"Tin Foil, Ink, Paper",10 cm x 10 cm,,1,4,4,1
4,Work 4,Work 4,Out-Clave,2025,Sculpture,"Wire, Wood",25 cm x 10 cm x 10 cm,,2,5,6,3
5,Work 5,Work 5,Riptide,2024,Lino Print,"Ink, Paper",21 cm x 14.8 cm,,1,7,7,1
6,Work 6,Work 6,Carrion,2024,Lino Print,"Ink, Paper",21 cm x 14.8 cm,,1,8,8,1
7,Work 7,Work 7,Der Golem,2026,"Filmplakat, Linoldruck","Ink, Paper",29.7 cm x 21 cm,,1,9,9,1
8,Work 8,Work 8,Narrow Stretch,2024,Live 5 Hour Illustration Performance on Canvas,"Paint, Ink",118.9 cm x 84.1 cm,Kings Heath Eid - England,1,10,10,2
9,Work 9,Work 9,Brierley Hill Canal,2025,Illustration,"Ink, Paper",29.7 cm x 21 cm,,1,11,11,1
10,Work 10,Work 10,Layers of Brierley Hill,2025,Installation,"Metal Grates, Cardboard, Tape, Paint, Fishing Line",110 cm x 100 cm x 80 cm,Exhibition at Dudley College of Technology,2,12,13,4
11,Work 11,Work 11,Brierley Hill Illustrations,2025,Illustration,"Ink, Paper",29.7 cm x 21 cm,,1,14,14,2
12,Work 12,Work 12,Bricks,2025,Installation,"Polystyrene, Newspaper, Maps, Copper Pipes, Fishing line",85 cm x 120 cm x 45 cm,,1,15,15,2
13,Work 13,Work 13,Traffic,2025,Installation,"Polystyrene, Newspaper, Maps, Plastic, Copper Pipes, Fishing Line",125 cm x 170 cm x 30 cm,,1,16,16,2
14,Work 14,Work 14,Thorax,2025,Digital Photograph,"Balloons, Umbrella",29.7 cm x 21 cm,,2,17,18,3
15,Work 15,Work 15,Craig Green (Black) I & II,2025,Collage,"Paper, Prints, Oil",21 cm x 14.4 cm,,1,19,19,2
16,Work 16,Work 16,Craig Green (White) I & II,2025,Collage,"Paper, Prints, Oil",21 cm x 14.4 cm,,1,20,20,2
17,Work 17,Work 17,The Ethereal Thing,2025,Collage,"Metal Can, Paper, Paint",21 cm x 29.7 cm,,1,21,21,1
